start,end,chr,gene
2740,3694,MT,26193
3904,4942,MT,26194
5323,6867,MT,26195
7006,7689,MT,26198
7758,7961,MT,26196
7919,8599,MT,26197
8599,9382,MT,26204
9451,9798,MT,26199
9870,10166,MT,26200
10160,11537,MT,26201
11736,13565,MT,26202
13543,14061,MT,26203
14136,15278,MT,26192
3796480,3798239,3,296587
11774788,11785493,12,363872
3827498,3834210,3,306322
5509059,5526175,20,294286
73687743,73711571,9,501157
90731148,90749217,10,360638
44863252,44870536,2,688802
102164751,103170847,15,691984
4072823,4114974,9,316153
4072823,4114974,9,367201
4072823,4114974,9,100910057
6355342,6369690,14,102554913
92435896,92500765,9,363268
4081457,4280794,9,367201
261989178,262015153,1,114638
9800322,9807328,3,266606
9813912,9822186,3,311855
2094931,2098433,20,294207
70157621,70220582,10,282844
4654294,4685383,9,171072
2098375,2103864,20,171387
109940350,110033085,X,315907
81493355,81516493,16,290875
3754968,3765917,16,306226
70134729,70158055,10,303369
121350965,121382088,7,315139
4807717,4834335,9,171072
4807717,4834335,9,100910526
74014656,74048244,9,114515
5526961,5531941,20,294287
154478782,154507039,1,680270
11814071,11840100,12,304280
9830332,9839452,17,252915
9830332,9839452,17,361208
54474136,55407922,4,60590
103344476,103369630,15,306165
9834242,9837303,17,290995
77829382,77896697,13,304913
43789791,43884267,1,308113
70185757,70211701,11,207126
110226572,110232179,X,81806
3287506,3299580,20,309593
266952561,267038883,1,309459
68626185,68637416,X,363476
3817402,3821270,16,290529
6435167,6541191,14,289453
111122552,111137769,X,300920
2216623,2280777,6,313840
8052210,8198800,9,450235
37924793,37947283,3,117050
267607418,267617387,1,114846
71754902,71757801,11,498096
71754902,71757801,11,100911042
55502693,55527156,4,500057
267607416,267640455,1,309465
121408829,121435022,7,29582
9822580,9856057,3,311856
166667169,166677026,1,293152
61432819,61454444,10,303300
111142602,111191936,X,315914
1814294,1819094,11,304176
1814294,1819094,11,100362724
3851270,3866008,16,361105
81521073,81532520,16,361176
90781402,90912287,10,266706
5532024,5533620,20,294288
104026601,104115748,15,290485
25411207,25488156,12,353256
12013911,12025549,12,288475
2146257,2159631,20,294208
121462966,121478546,7,315141
13488376,13553974,17,306790
86577339,86655602,11,680266
58462588,58504728,2,365699
3867208,3912148,16,290527
68713123,68785052,X,312113
115561332,115619505,X,300284
115561332,115619505,X,108349244
14824734,14828329,17,364680
8553768,8564379,16,680885
77940454,77946201,13,289143
57318795,57389901,3,311118
57318795,57389901,3,103690017
93368932,93377643,9,25135
267689328,267798059,1,102553148
208616589,208633945,2,691223
11062790,11585765,11,84409
74124016,74236274,9,497840
5535432,5564437,20,192117
6673686,6679901,14,25353
28243,72912,10,103689943
2307808,2316722,6,25426
2169545,2178601,20,365528
90929423,90931639,10,287738
14491584,14508235,9,301225
149533151,149564113,2,310448
271229036,271243517,1,309465
271229036,271243517,1,103690044
121480723,121482772,7,79255
104117556,104170958,15,364475
271252447,271275989,1,100912218
8577840,8686131,16,290567
68891227,68904038,X,25186
8682669,8685529,16,60422
271292390,271400597,1,309467
81549204,81587080,16,306607
81549204,81587080,16,103693999
274030978,274090071,1,25701
57966783,58006839,4,500069
23056347,23074599,5,252834
37462693,37490108,9,316304
5566531,5569533,20,294289
90932075,90983928,10,287739
8310577,8333885,1,29721
5609625,5618260,20,116502
3299730,3307673,20,361788
2182941,2191640,20,294210
15355529,15402649,17,306804
274096068,274107138,1,287768
274096068,274107138,1,100363406
85957716,85991211,14,305493
89041591,89310946,2,294883
77948771,77959110,13,289144
123404518,123407645,X,25176
37727942,37747514,9,100909761
37727942,37747514,9,100912306
5619012,5625320,20,494520
9998458,10031530,3,103690010
48025663,48033396,1,24818
27986663,28177340,5,297910
123460280,123486814,X,313433
47996521,48026268,1,365096
33812662,33865933,11,108348130
28133068,28317943,5,500415
33845463,33847793,11,29224
69213645,69218556,X,683077
277730760,277827269,1,292130
209766512,209769711,2,29731
237506,284943,20,170898
2194709,2201668,20,100910806
94307852,94336831,9,363275
2201683,2224463,20,309586
123486989,123497726,X,298317
37769959,37775154,9,316317
2568990,2610437,6,298757
12227010,12321172,12,304282
908806,953474,10,170946
20144432,20232639,X,317418
20144432,20232639,X,108348124
104186792,104226329,15,63880
10036461,10036841,3,379044
10036461,10036841,3,108348071
5646097,5711702,20,25679
10662021,10695557,16,24399
167309051,167334741,1,116675
61706864,61720956,4,24192
81587446,81614553,16,103694000
37775311,37779967,9,363213
86673775,86677443,14,25518
209838869,209852471,2,25468
8830411,8878244,1,292640
10041826,10144388,3,311860
10041826,10144388,3,100909750
69580015,69605032,X,688841
167335248,167347671,1,308875
66193059,66263960,3,311144
154256380,154418920,2,310463
210249663,210299770,2,613226
61456145,61577412,10,83572
277853875,278042312,1,307989
43129415,43139870,9,301346
10702263,10706073,16,684972
121669373,121783435,7,685900
3309899,3322825,20,85493
15405860,15429322,17,108348063
94362299,94408885,9,501181
123524950,123662350,X,691335
81616604,81632030,16,290880
81665540,81688148,16,361180
1322453,1323419,20,408030
33909439,33917674,11,304078
81402124,81421990,9,301510
78011047,78609045,13,304914
1337149,1339488,20,24988
20316893,20454357,X,317420
111057291,111793326,2,116647
5712203,5723902,20,361805
48033768,48038726,1,292244
278198179,278221686,1,361774
69730242,70220329,X,302424
1308414,1461269,10,360464
8080275,8368254,14,25272
5733482,5754773,20,688862
100151210,100217913,14,364206
5791449,5794344,20,689425
123662477,123664107,X,367699
100217289,100247235,14,364208
10151284,10161989,3,366017
5803383,5806097,20,25680
167373678,167533420,1,361618
71206876,71229575,4,680422
71206876,71229575,4,100912416
123705235,123708211,X,25347
123705235,123708211,X,103690821
123705235,123708211,X,103692785
123705235,123708211,X,103693375
123705235,123708211,X,103694169
123705235,123708211,X,103694404
11215963,11274932,6,81709
5815837,5826137,20,294303
90984227,90987823,10,498006
5831119,5865854,20,361811
94487224,94495333,9,94341
10878334,10941501,16,498587
123713339,123731385,X,313449
78120607,78131114,5,298091
123102468,123145635,7,79250
43179795,43251400,9,501125
70227163,70241254,10,303375
81427730,81434102,9,29385
5881462,5931648,20,309646
90988732,90990203,10,287741
3329677,3344286,20,65045
70256737,70257609,X,302426
70224654,70270693,X,302425
66414308,66417741,3,29458
15495790,15519282,17,103690027
123773430,123788898,X,60332
15429708,15603199,17,679342
12322243,12330939,12,304284
90990762,90999506,10,24387
15447716,15467359,17,108348095
123803103,123806777,X,108348144
15475710,15484269,17,83717
15475710,15484269,17,103690116
15533972,15566332,17,100361383
81466332,81469274,9,54258
5933303,5995137,20,81649
11281964,11298216,6,171577
33925498,34027435,11,304077
230186198,230198555,2,83584
230186198,230198555,2,103689977
112281376,112659927,2,294932
97772184,97782067,9,363283
123806918,123808049,X,108348079
230199343,230273709,2,295462
187102833,187113752,2,310689
123821637,123823056,X,501507
123821637,123823056,X,108348152
43259709,43262040,9,94194
20856187,20877716,1,686032
123851845,123857609,X,313451
28333019,28349927,5,297911
10181924,10196626,3,688699
48039909,48058400,1,361478
