patient,chr,start,end,type
CONTROL1,5,75230547,75596850,LOH
CONTROL1,5,33707135,34231788,LOH
CONTROL1,19,2876001,3832189,Gain
CONTROL1,1,13255535,13921869,Gain
CONTROL1,16,76410256,76461754,LOH
CONTROL1,2,224005750,224280031,LOH
CONTROL1,10,120014626,120554620,Loss
CONTROL1,Y,8932485,9400301,LOH
CONTROL1,12,31426489,31997689,Loss
CONTROL1,3,146951986,147008338,Gain
CONTROL1,13,6186021,7155111,LOH
CONTROL1,6,132695787,132784957,LOH
CONTROL1,6,95846197,96702497,LOH
CONTROL1,15,78409613,78660384,Gain
CONTROL1,11,8897090,9748451,LOH
CONTROL1,21,38128962,38412272,Gain
CONTROL1,3,196215316,196551890,LOH
CONTROL1,7,52585946,52667152,Loss
CONTROL1,16,72632071,72711423,LOH
CONTROL1,22,16803466,17251418,LOH
CONTROL1,15,62461359,62992950,Gain
CONTROL1,22,42399587,43062066,LOH
CONTROL1,1,134538729,134906472,Gain
CONTROL1,11,2409982,2915329,Loss
CONTROL1,X,56688263,57472183,Loss
CONTROL1,11,37708921,38214339,Gain
CONTROL1,16,63077479,63420455,Loss
CONTROL1,6,121566452,122438235,LOH
CONTROL1,17,44408518,45316351,LOH
CONTROL1,3,161067862,161709067,LOH
CONTROL1,Y,52014678,52163996,Gain
CONTROL1,15,61098325,61992775,Gain
CONTROL1,7,149752573,150337361,Loss
CONTROL1,11,93681677,93818669,LOH
CONTROL1,X,116207340,116225595,LOH
CONTROL1,17,28208267,28547145,Gain
CONTROL1,22,11672321,12278379,Loss
CONTROL1,21,45320716,45738773,Gain
CONTROL1,12,87010963,87174556,Loss
CONTROL1,8,139545486,140296225,Loss
CONTROL1,19,46654519,47115337,Gain
CONTROL1,2,190518727,190792180,Gain
CONTROL1,11,12577629,13539745,Gain
CONTROL1,14,43247475,43283366,Gain
CONTROL1,1,91522010,91808313,LOH
CONTROL1,1,180304056,180399425,Loss
CONTROL1,3,31108984,31441970,LOH
CONTROL1,16,70123360,70311910,Gain
CONTROL1,15,71163286,71266839,Loss
CONTROL1,7,74369151,74513971,Gain
CONTROL1,7,115231411,115501808,LOH
CONTROL1,8,25947370,26539857,Loss
CONTROL1,14,17225959,17538215,Loss
CONTROL1,7,127020613,127413453,LOH
CONTROL1,22,10315029,10984142,Gain
CONTROL1,10,81523542,82158543,Loss
CONTROL1,17,32581247,32957407,Loss
CONTROL1,5,144013885,144226680,Gain
CONTROL1,9,139130778,139185023,LOH
CONTROL1,19,21801923,22716289,Gain
CONTROL1,X,7943232,8931190,LOH
CONTROL1,19,23678409,24169600,Loss
CONTROL1,10,59561613,59691390,Loss
CONTROL1,17,13039386,13068154,LOH
CONTROL1,5,94542822,95334450,LOH
CONTROL1,3,63961952,64805634,Gain
CONTROL1,20,21980033,22429256,Gain
CONTROL1,3,126044555,126470006,LOH
CONTROL1,11,6911127,7198285,Gain
CONTROL1,12,129023336,129930377,Loss
CONTROL1,4,85668532,86173607,Loss
CONTROL1,4,50715106,51084516,Loss
CONTROL1,15,5131009,5834935,Gain
CONTROL1,3,178244337,178739830,Gain
CONTROL1,22,34176347,34485234,Loss
CONTROL1,8,18454017,18736408,Loss
CONTROL1,7,80645438,81341569,Loss
CONTROL1,19,19495038,20178013,LOH
CONTROL1,11,26740402,27292938,LOH
CONTROL1,2,241863693,242751149,Loss
CONTROL1,18,19791708,19869738,LOH
CONTROL1,21,770114,1134933,LOH
CONTROL1,13,43732216,44013871,LOH
CONTROL1,14,91595577,92428860,Loss
CONTROL1,2,72276273,72616843,LOH
CONTROL1,Y,19766403,20040987,Loss
CONTROL1,22,14274021,15018829,Loss
CONTROL1,15,32318920,32424760,Loss
CONTROL1,1,17837826,18707437,LOH
CONTROL1,20,19181474,19562620,Loss
CONTROL1,Y,33005514,33682335,Loss
CONTROL1,3,167270826,167306356,Gain
CONTROL1,Y,13807479,14356423,Gain
CONTROL1,X,151570253,152128554,Gain
CONTROL1,14,101675457,102565066,Gain
CONTROL1,12,28119325,28910542,LOH
CONTROL1,8,876616,1680875,LOH
CONTROL1,13,21047693,21837635,Gain
CONTROL1,13,48641458,49297752,Loss
CONTROL1,18,15676189,16265708,LOH
CONTROL1,18,47462416,48221229,Gain
CONTROL2,5,26538430,27362515,LOH
CONTROL2,3,75434530,75996280,LOH
CONTROL2,X,116676023,117416974,LOH
CONTROL2,9,119528219,120152986,Gain
CONTROL2,10,76449075,76584134,Gain
CONTROL2,2,39660881,39948195,Gain
CONTROL2,22,8285588,9072176,Gain
CONTROL2,3,115939496,116882094,Gain
CONTROL2,21,23417373,23435349,Gain
CONTROL2,17,43951111,44190763,Gain
CONTROL2,15,40772217,41543634,LOH
CONTROL2,16,12961356,13006118,Loss
CONTROL2,11,56145493,56209835,Loss
CONTROL2,16,55034294,55782011,Gain
CONTROL2,14,16239702,16461557,Loss
CONTROL2,1,90391125,91382634,LOH
CONTROL2,20,59201321,60060896,Loss
CONTROL2,21,23005434,23599753,Gain
CONTROL2,15,39232831,39617399,Gain
CONTROL2,16,32527519,32788184,Loss
CONTROL2,15,18463918,19314314,LOH
CONTROL2,20,829643,1184193,Gain
CONTROL2,21,27791420,28642560,Gain
CONTROL2,5,62942826,63748487,LOH
CONTROL2,9,114677495,115087175,LOH
CONTROL2,16,87124610,87276028,LOH
CONTROL2,2,232648481,233629272,Gain
CONTROL2,3,123424736,124363590,Loss
CONTROL2,8,94067242,94265621,Gain
CONTROL2,15,23265273,23351645,LOH
CONTROL2,11,44177867,44286985,Gain
CONTROL2,11,81944028,82253742,Loss
CONTROL2,X,60786527,61493555,Gain
CONTROL2,2,127383701,127703383,LOH
CONTROL2,6,75690211,76230481,LOH
CONTROL2,22,26978635,27206308,Gain
CONTROL2,15,38185308,38449113,Loss
CONTROL2,10,69334557,69492508,Gain
CONTROL2,18,68591918,68668540,Loss
CONTROL2,17,30294366,31257616,Gain
CONTROL2,12,38683548,39205706,Loss
CONTROL2,12,94079601,94406954,Gain
CONTROL2,5,38551862,38712406,Gain
CONTROL2,6,40201287,41001283,LOH
CONTROL2,19,62203875,62253974,LOH
CONTROL2,9,6502650,7150745,Loss
CONTROL2,18,41871121,42199652,Gain
CONTROL2,15,12376075,12503425,Gain
CONTROL2,1,207843965,208753155,Loss
CONTROL2,6,106742822,106874365,Gain
CONTROL2,21,2017095,2465178,Loss
CONTROL2,14,23354051,23673421,Loss
CONTROL2,15,37136397,37460960,Gain
CONTROL2,1,141221367,142071452,Loss
CONTROL2,17,53251027,53760356,Gain
CONTROL2,15,32856995,33621592,Gain
CONTROL2,5,119134725,119850942,Gain
CONTROL2,3,92515954,93114519,Gain
CONTROL2,22,13924717,14381109,LOH
CONTROL2,11,97248607,97806721,Gain
CONTROL2,9,97130451,97229103,Loss
CONTROL2,3,65613575,66601089,Gain
CONTROL2,16,58458165,59154307,Gain
CONTROL2,16,37816341,38461457,LOH
CONTROL2,17,46939993,47611624,LOH
CONTROL2,17,6649131,6932109,Loss
CONTROL2,15,98928997,99026130,Loss
CONTROL2,2,206528774,207473219,Loss
CONTROL2,17,13762127,14580341,LOH
CONTROL2,Y,50971681,51207749,LOH
CONTROL2,12,50124482,50739463,Loss
CONTROL2,5,133142608,133168999,Loss
CONTROL2,15,99307850,99371743,Gain
CONTROL2,8,9139419,9614858,Gain
CONTROL2,20,36783207,37359137,Gain
CONTROL2,12,123998826,124656948,Loss
CONTROL2,7,156632496,156755820,Loss
CONTROL2,1,37699492,38488684,Loss
CONTROL2,3,145528327,145966370,Loss
CONTROL2,21,22857698,22886383,LOH
CONTROL2,2,155063323,155585250,Gain
CONTROL2,16,32579830,33572708,Loss
CONTROL2,14,17674674,18486190,LOH
CONTROL2,22,20496681,20536578,LOH
CONTROL2,22,23341654,24079262,Loss
CONTROL2,21,1425100,1727651,LOH
CONTROL2,21,34230206,34836140,Gain
CONTROL2,14,55450563,56394670,Loss
CONTROL2,12,110140782,110217489,Loss
CONTROL2,7,32212715,32380771,Loss
CONTROL2,19,42830111,43580592,Loss
CONTROL2,3,2964669,3335767,Gain
CONTROL2,11,48799082,49312115,Loss
CONTROL2,14,17841197,18422433,LOH
CONTROL2,1,169589838,169905345,Loss
CONTROL2,6,8166571,8969630,LOH
CONTROL2,3,85528627,86009230,Gain
CONTROL2,7,43359216,43439004,Loss
CONTROL2,19,27025426,27522760,Gain
CONTROL2,22,28275005,28883815,Loss
CONTROL2,X,103430087,103538599,LOH
CONTROL3,18,37534817,37741351,LOH
CONTROL3,Y,42280319,43111158,LOH
CONTROL3,4,21464450,21945112,Gain
CONTROL3,17,38920892,39231906,LOH
CONTROL3,12,6313867,6988599,Gain
CONTROL3,15,36047999,36677883,Loss
CONTROL3,Y,41752423,41988604,LOH
CONTROL3,13,93380830,93433291,Loss
