start,end,chr,gene
2751,3707,MT,17716
3914,4951,MT,17717
5328,6872,MT,17708
7013,7696,MT,17709
7766,7969,MT,17706
7927,8607,MT,17705
8607,9390,MT,17710
9459,9806,MT,17718
9877,10173,MT,17720
10167,11544,MT,17719
11742,13565,MT,17721
13552,14070,MT,17722
14145,15288,MT,17711
6564841,6571401,7,258384
32372493,32399197,9,56379
30698926,30700536,7,69147
20962361,20976781,9,14739
84851338,84880401,18,109672
85408759,85432833,8,66714
12581470,12606544,7,637908
108666418,108670259,7,258308
26356642,26371841,16,12737
57106830,57124003,2,18227
68236610,68264233,7,78444
117319139,117360876,3,229791
23533906,23534304,13,319173
69135800,69189330,2,329416
31422280,31458901,16,71911
7554879,7565834,6,21333
138313286,138331134,3,69117
51614823,51631461,10,210198
13109684,13150617,16,50505
34369933,34486456,5,231128
92449625,92484015,13,73942
109280268,109387817,4,13858
82354255,82422882,10,237412
101367561,101377903,11,14377
31441211,31453737,15,252967
26061497,26096197,7,13089
89000021,89006973,2,258451
37793529,37798134,17,258623
52371332,52379168,14,258424
23217332,23218255,7,100043667
18974940,18978256,8,360217
173221284,173227214,1,14125
6635482,6638637,11,22373
77477047,77491069,15,245282
12866549,12992650,1,240726
35512734,35516824,17,106795
115088708,115093899,4,67182
36511867,36528237,1,94218
131127455,131138340,1,226419
24579881,24603817,18,106957
10487229,10495394,7,22775
24711738,24730727,5,269633
3122061,3279617,8,16337
74762980,74765142,2,15429
90668978,90670035,3,20201
180568924,180601254,1,11545
107233514,107253532,4,77809
26781079,26792565,17,224630
90336536,90390895,11,217082
103619359,104744844,4,13131
27196659,27203749,13,27372
33745484,33757795,1,213539
21294275,21312337,9,11768
84069325,84076020,12,217698
4522933,4532453,7,436022
33518481,33520458,7,626970
173266001,173273994,1,258645
119344488,119348922,8,68196
142079490,142095843,7,18218
84148025,84172590,8,74666
53770014,53778374,11,16362
87825686,87846387,5,73779
30413760,30417585,7,22177
54892989,55014348,12,217578
37799888,37808617,17,259064
90292234,90298714,2,258977
17996417,17996958,2,68231
173274382,173277777,1,100504232
90280263,90292841,2,258982
52389794,52397379,14,258268
5501674,5522927,14,100041735
5501674,5522927,14,102640268
4518305,4524229,7,21954
23535422,23535951,13,97908
23535422,23535951,13,382523
14881335,14901720,8,26889
96682770,96752831,9,245007
30712209,30725534,7,11944
108750973,108756800,7,258718
91357261,91402994,5,12223
13130904,13140157,7,171261
142120070,142120729,7,108167466
52409131,52414373,14,258423
34037597,34074074,13,68021
113140236,113145506,12,68337
103038024,103044040,7,259055
103510586,103750211,6,12661
5502767,5503787,19,75555
69067149,69127113,3,16649
99984710,99986597,11,100504183
96706067,96708562,3,78373
30232581,30272427,5,28042
69690433,69724873,12,217666
79965851,80058006,8,15245
21702519,21703645,8,382000
122594467,122611303,2,67092
10527210,10528169,7,628580
55625195,56183701,3,26422
109554709,109558993,5,57914
25849623,25937939,8,16532
31149920,31164324,3,18417
125404076,125728899,3,64580
169497934,169531464,1,66977
84839841,84900487,1,66153
131545850,131562283,2,11550
51038459,51041869,14,328401
3205901,3671498,1,497097
172148084,172197005,1,98193
173333258,173367695,1,94332
67966193,68207148,11,55943
127511983,127561219,7,100043597
5601873,5603439,19,68209
6758506,7038198,10,18390
81860023,82000924,12,54604
13003457,13011806,2,227580
68273839,68363092,7,434197
121553835,121567989,1,66942
92487108,92530868,13,218441
98737621,98763214,15,11842
90692632,90695721,3,20202
84721189,84840516,1,14897
12924041,13003455,2,19212
96696384,96706070,3,229615
104482818,104507490,X,331487
70601263,70636048,14,13829
34650405,34652461,3,20674
129677565,129755316,3,13645
21002738,21008839,9,66163
27676440,27762957,2,20181
4843303,4860043,12,238037
60777524,60788287,11,237782
3353415,3390299,8,319493
19960930,20002351,18,13507
119402118,119434995,9,11481
66985239,67008877,14,12177
60788104,60811718,11,20425
46471037,46536051,8,14081
21882184,21999903,10,20393
99993234,99993994,11,77914
8470788,8490684,16,239706
75134554,75142711,1,69171
104536969,104671064,X,108672
11301249,11314454,19,383435
74825803,74878431,2,53375
100011195,100016212,11,71888
68209364,68400823,11,18208
91517615,91626894,5,231440
128062640,128118491,7,16409
123123885,123195296,7,233833
173350879,173466040,1,383619
78430526,78443237,9,214763
32422204,32542861,9,14247
139079257,139085236,X,331535
26463135,26482765,16,114141
29689378,29717012,17,68597
3999557,4409241,1,19888
113385580,113388570,7,19226
18404418,18413177,9,546118
82486537,82492618,10,432480
18986233,18991055,8,353320
23541714,23543392,13,319182
173331886,173333750,1,13349
20182078,20183097,17,321020
142135336,142136034,7,105243089
87015537,87019917,9,382089
164269371,164373011,X,69656
12615233,12636134,7,666085
46257851,46283026,17,74094
6671269,6696450,7,22776
49203292,49218816,11,22720
20687954,20699880,X,18555
105143342,105145092,9,73532
31706867,31713947,12,73010
40878794,40887494,6,194357
19023407,19026566,8,360212
142156454,142157113,7,101055862
3114224,3227806,2,269233
11555571,11563251,8,26356
106503225,106561631,9,68265
109735990,109751886,5,100041734
10037987,10136768,1,211660
52396428,52408728,11,213673
12651706,12684991,7,100042499
100023634,100029868,11,16671
90476492,90638084,11,20913
70993656,71002878,17,67268
55204350,55236330,11,215335
29614790,29641664,17,58230
23544052,23545312,13,260423
31926254,31950535,12,73389
20208230,20234872,17,627743
38220470,38234306,5,17089
10578930,10613659,7,252904
172196728,172206804,1,18611
51049451,51050163,14,497113
82619851,82623228,10,544717
26173411,26210661,7,13094
18430654,18446316,9,234988
118234933,118301440,12,20688
152800194,152836991,1,17970
5080235,5098178,7,13854
77216287,77460220,11,237860
12936093,12941914,12,18109
55782510,55785001,3,17116
