start,end,chr,gene
22001764,22003154,14,6964
21060383,21060874,22,651536
38266214,38271804,7,445347
105275144,105280452,14,3492
105644276,105644725,14,100133739
105862048,105862501,14,652494
106166169,106166606,14,100134331
106240967,106241412,14,100133862
106249864,106250307,14,100131845
89059100,89059618,2,440871
89090592,89091069,2,652493
89294021,89294497,2,650405
89613009,89613796,2,651751
89758963,89759440,2,647506
141695655,141696087,7,642231
141695655,141696087,7,647343
110678039,110690818,1,64783
27554257,27565970,1,9064
27554257,27565970,1,9064
58954,59871,1,79501
357522,358460,1,81399
357522,358460,1,26683
357522,358460,1,729759
610959,611897,1,81399
610959,611897,1,26683
610959,611897,1,729759
742614,745077,1,400728
850393,869824,1,148398
869459,884494,1,26155
869459,884494,1,100133473
885830,890958,1,339451
891740,900339,1,84069
924208,925333,1,57801
938742,939782,1,9636
945366,981355,1,375790
1007061,1041341,1,54991
1007061,1041341,1,54991
1098299,1104798,1,100132716
1099146,1123178,1,254173
1099146,1123178,1,254173
1099146,1123178,1,254173
1128752,1131952,1,8784
1128752,1131952,1,8784
1128752,1131952,1,8784
1136583,1139411,1,7293
1142177,1157274,1,51150
1142177,1157274,1,51150
1157492,1160284,1,126792
1167696,1171965,1,388581
1179157,1199097,1,118424
1179157,1199097,1,118424
1179157,1199097,1,118424
1179157,1199097,1,118424
1179157,1199097,1,118424
1179157,1199097,1,118424
1179157,1199097,1,118424
1204310,1217267,1,6339
1204310,1217267,1,6339
1204310,1217267,1,6339
1204310,1217267,1,6339
1217633,1233132,1,116983
1233857,1236919,1,126789
1236828,1249909,1,54973
1250006,1254139,1,80772
1256589,1260550,1,83756
1260522,1274623,1,1855
1277935,1286506,1,54587
1298973,1300443,1,54998
1298973,1300443,1,54998
1298973,1300443,1,54998
1298973,1300443,1,54998
1311738,1324560,1,81669
1311738,1324560,1,81669
1327164,1332524,1,55052
1327164,1332524,1,642393
1351371,1353030,1,643965
1360772,1366008,1,64856
1360772,1366008,1,64856
1397006,1421444,1,83858
1437394,1459928,1,55210
1466917,1500125,1,29101
1540736,1555853,1,142678
1557421,1559893,1,8510
1560963,1645632,1,984
1560963,1645632,1,984
1560963,1645632,1,984
1582802,1614027,1,728661
1582802,1614027,1,728661
1582802,1614027,1,728661
1624029,1645637,1,100133692
1624029,1645637,1,984
1624029,1645637,1,728642
1624029,1645637,1,984
1624029,1645637,1,100133692
1624029,1645637,1,984
1624029,1645637,1,728642
1624029,1645637,1,100133692
1624029,1645637,1,100133692
1624029,1645637,1,984
1624029,1645637,1,984
1624029,1645637,1,984
1646137,1667291,1,9906
1672531,1701368,1,65220
1672531,1701368,1,65220
1706590,1812355,1,2782
1836126,1838593,1,163688
1838889,1840580,1,339456
1843260,1849228,1,339457
1874612,1925136,1,85452
1940703,1952050,1,2563
1971769,2106692,1,5590
1971769,2106692,1,5590
1971769,2106692,1,5590
2105777,2122397,1,100129828
2105777,2122397,1,199990
2149994,2229316,1,6497
2242556,2346079,1,79906
2313074,2326734,1,11079
2326103,2333870,1,5192
2397614,2426829,1,9651
2429835,2447895,1,55229
2450046,2451544,1,388585
2479153,2486757,1,8764
2508097,2512762,1,127281
2511941,2554289,1,79258
2511941,2554289,1,79258
2562667,2566862,1,391205
2927906,2929325,1,140625
2970496,2974193,1,100129346
2975604,3345043,1,647868
2975604,3345043,1,647868
2975604,3345043,1,63976
2975604,3345043,1,647868
2975604,3345043,1,647868
2975604,3345043,1,63976
2975604,3345043,1,647868
3361100,3387537,1,27237
3394373,3517919,1,1953
3531416,3536549,1,127262
3537191,3556504,1,49856
3558989,3639716,1,7161
3558989,3639716,1,7161
3558989,3639716,1,7161
3558989,3639716,1,7161
3658822,3678069,1,148870
3686644,3702928,1,57470
3721204,3763657,1,9731
3763705,3791853,1,1677
3795563,3806709,1,339448
3795563,3806709,1,339448
4614965,4743711,1,55966
4614965,4743711,1,55966
5845457,5975118,1,261734
5974113,6083840,1,8514
5974113,6083840,1,8514
5974113,6083840,1,8514
5974113,6083840,1,8514
5974113,6083840,1,8514
6084440,6162770,1,26038
6167668,6182266,1,6146
6188477,6203946,1,388591
6203840,6218631,1,23463
6226849,6228225,1,390992
6229993,6243622,1,387509
6246920,6376413,1,11332
6246920,6376413,1,11332
6246920,6376413,1,11332
6246920,6376413,1,11332
6395065,6407317,1,54626
6407435,6443591,1,83715
6443798,6448855,1,8718
6443798,6448855,1,8718
6443798,6448855,1,8718
6443798,6448855,1,8718
6443798,6448855,1,8718
6443798,6448855,1,8718
6448739,6502708,1,57449
6448739,6502708,1,57449
